Age,Gender,Education,City,Income,Years_of_Experience,Purchased
20.0,Female,PhD,Los Angeles,30826.0,4.0,1
29.0,nan,nan,Houston,35489.0,14.0,1
38.0,Male,Master's,Chicago,62326.0,0.0,1
41.0,Male,Bachelor's,New York,115300.0,9.0,0
47.0,Male,nan,Chicago,131694.0,19.0,0
32.0,Male,Bachelor's,Los Angeles,69870.0,17.0,1
45.0,Female,PhD,Los Angeles,34368.0,19.0,1
24.0,Male,Master's,Houston,30181.0,5.0,0
32.0,Female,nan,Chicago,142738.0,19.0,0
39.0,nan,Master's,Los Angeles,58165.0,9.0,0
24.0,Female,PhD,nan,129301.0,15.0,1
36.0,Female,Master's,Chicago,57274.0,10.0,0
29.0,Male,nan,New York,67936.0,16.0,1
43.0,Male,Bachelor's,New York,83835.0,11.0,1
48.0,nan,PhD,Chicago,135040.0,13.0,0
32.0,nan,Bachelor's,Houston,93618.0,7.0,1
29.0,nan,Master's,Houston,99919.0,0.0,1
23.0,Male,Master's,Houston,131295.0,1.0,1
47.0,Female,High School,New York,64749.0,2.0,0
28.0,Male,Bachelor's,New York,69795.0,14.0,1
34.0,nan,nan,San Francisco,122990.0,4.0,1
45.0,Female,PhD,nan,31256.0,9.0,1
30.0,nan,nan,Los Angeles,81702.0,9.0,0
25.0,Male,High School,Chicago,114888.0,15.0,0
33.0,Female,PhD,Houston,65039.0,16.0,0
35.0,Female,PhD,Los Angeles,126055.0,12.0,1
26.0,Male,nan,Houston,,14.0,1
47.0,nan,Bachelor's,Houston,63887.0,14.0,1
35.0,Female,nan,nan,112511.0,5.0,1
26.0,Female,PhD,New York,108237.0,10.0,1
47.0,Female,High School,Los Angeles,51856.0,17.0,0
27.0,nan,Bachelor's,New York,130848.0,7.0,1
23.0,nan,nan,Houston,78796.0,7.0,0
39.0,Female,Bachelor's,nan,144770.0,6.0,1
31.0,Female,High School,nan,138881.0,11.0,1
43.0,Female,High School,San Francisco,79985.0,10.0,1
29.0,nan,PhD,Houston,59252.0,,1
48.0,Male,PhD,nan,100108.0,8.0,0
37.0,Female,High School,Los Angeles,84234.0,5.0,0
31.0,Male,nan,Houston,115111.0,6.0,1
42.0,Male,Master's,Los Angeles,136204.0,3.0,1
28.0,nan,PhD,Chicago,66862.0,16.0,1
48.0,Male,PhD,San Francisco,71433.0,9.0,1
38.0,Female,PhD,Chicago,92875.0,9.0,1
33.0,Female,Master's,Houston,87284.0,13.0,1
29.0,Male,High School,New York,,,1
35.0,Male,Master's,San Francisco,,0.0,1
49.0,nan,nan,nan,65612.0,1.0,1
47.0,Male,Bachelor's,Houston,54675.0,19.0,0
44.0,Female,High School,Los Angeles,48156.0,13.0,1
29.0,nan,nan,New York,63349.0,18.0,1
22.0,Male,PhD,nan,,4.0,0
26.0,Male,Bachelor's,San Francisco,,9.0,0
31.0,Male,PhD,Los Angeles,59949.0,,0
42.0,Male,Master's,Houston,66794.0,14.0,0
44.0,Male,Master's,Chicago,101210.0,7.0,0
,Male,Master's,San Francisco,37262.0,16.0,1
43.0,Male,Master's,San Francisco,111472.0,16.0,1
29.0,Male,nan,nan,61838.0,10.0,1
42.0,Male,High School,nan,125035.0,16.0,0
46.0,Male,nan,Houston,32069.0,15.0,0
23.0,nan,Master's,Los Angeles,104734.0,8.0,1
42.0,Female,High School,New York,123215.0,6.0,1
36.0,Male,Master's,Houston,149978.0,17.0,0
30.0,nan,Master's,Chicago,109246.0,2.0,0
36.0,Male,High School,Chicago,37928.0,6.0,1
43.0,Male,PhD,nan,62100.0,,1
25.0,Male,PhD,nan,,1.0,1
29.0,Male,High School,nan,111364.0,15.0,0
35.0,Male,PhD,Houston,48971.0,14.0,1
24.0,nan,nan,Houston,58901.0,15.0,0
31.0,Female,nan,Los Angeles,89923.0,11.0,1
46.0,Female,PhD,San Francisco,111608.0,15.0,1
24.0,Female,nan,nan,103931.0,4.0,1
46.0,Male,Bachelor's,Houston,42250.0,9.0,0
38.0,nan,High School,San Francisco,65518.0,6.0,0
32.0,nan,nan,New York,78854.0,6.0,0
39.0,nan,High School,Los Angeles,44994.0,18.0,1
36.0,nan,High School,nan,54014.0,18.0,0
46.0,Female,Bachelor's,Houston,149503.0,6.0,0
28.0,nan,High School,Houston,95540.0,,0
,nan,PhD,New York,89148.0,17.0,0
44.0,Male,High School,Los Angeles,97172.0,,0
38.0,Female,nan,New York,145812.0,2.0,0
38.0,Male,High School,Los Angeles,,10.0,1
27.0,Female,Master's,nan,65577.0,3.0,1
32.0,Male,nan,Houston,65565.0,16.0,0
31.0,Male,PhD,New York,71678.0,2.0,0
23.0,Female,Bachelor's,New York,145803.0,4.0,1
28.0,nan,PhD,Chicago,109543.0,,0
32.0,nan,nan,Chicago,,1.0,0
31.0,Male,nan,New York,96264.0,12.0,1
26.0,Male,Master's,Chicago,87411.0,11.0,1
34.0,Male,nan,nan,,5.0,0
34.0,Female,nan,San Francisco,109067.0,14.0,0
34.0,Female,High School,Chicago,119728.0,3.0,0
36.0,Female,nan,Chicago,126837.0,10.0,0
37.0,Female,Bachelor's,Chicago,33308.0,1.0,1
22.0,Male,Master's,San Francisco,43728.0,3.0,1
22.0,Male,Bachelor's,New York,140545.0,11.0,1
30.0,Male,High School,nan,48838.0,1.0,0
,nan,Master's,nan,65093.0,5.0,1
30.0,Male,Bachelor's,Houston,62553.0,15.0,1
30.0,nan,nan,nan,77549.0,17.0,1
26.0,Female,nan,Chicago,73907.0,,0
32.0,nan,Master's,San Francisco,,16.0,0
46.0,nan,Master's,New York,56884.0,11.0,1
37.0,nan,Bachelor's,New York,77323.0,11.0,1
38.0,Female,High School,Chicago,105391.0,13.0,1
24.0,Female,High School,Houston,109580.0,19.0,1
35.0,Female,Bachelor's,New York,102829.0,,0
30.0,Male,Master's,Chicago,,18.0,0
44.0,Male,High School,Houston,105140.0,3.0,1
38.0,nan,PhD,San Francisco,45512.0,,1
29.0,Female,nan,New York,54905.0,4.0,1
27.0,Female,High School,nan,68971.0,13.0,0
35.0,Male,PhD,Chicago,91724.0,18.0,1
20.0,Female,PhD,nan,48753.0,2.0,1
43.0,Male,High School,Chicago,112201.0,17.0,1
49.0,Male,Master's,Los Angeles,78643.0,8.0,0
44.0,nan,PhD,Los Angeles,105719.0,11.0,1
23.0,nan,Master's,Chicago,55137.0,17.0,0
47.0,Female,Bachelor's,New York,89692.0,13.0,1
27.0,Female,PhD,Houston,51015.0,16.0,0
32.0,Female,PhD,Houston,52865.0,15.0,0
38.0,Male,Bachelor's,San Francisco,100092.0,13.0,0
,Female,PhD,nan,63608.0,10.0,1
24.0,Female,Master's,Chicago,58302.0,12.0,0
20.0,nan,nan,Los Angeles,97041.0,15.0,0
28.0,nan,Bachelor's,New York,102062.0,0.0,1
49.0,nan,Bachelor's,New York,33260.0,7.0,1
47.0,Female,PhD,New York,133096.0,17.0,1
22.0,nan,PhD,Chicago,78832.0,5.0,1
33.0,nan,Bachelor's,Houston,36752.0,4.0,0
22.0,nan,nan,Chicago,,18.0,1
44.0,nan,PhD,nan,86677.0,2.0,0
27.0,nan,Master's,Chicago,86204.0,18.0,0
33.0,nan,Master's,San Francisco,131740.0,3.0,1
40.0,nan,nan,Houston,138431.0,9.0,1
28.0,Female,nan,New York,45813.0,1.0,1
40.0,nan,nan,Houston,101378.0,12.0,1
49.0,nan,Master's,New York,114965.0,17.0,0
25.0,Female,PhD,nan,48824.0,11.0,1
49.0,Male,High School,nan,138242.0,6.0,1
33.0,nan,Bachelor's,New York,117429.0,4.0,0
36.0,Female,High School,Chicago,94322.0,6.0,1
,Female,Master's,Los Angeles,38581.0,,1
44.0,nan,PhD,nan,122827.0,12.0,1
34.0,Male,Bachelor's,Los Angeles,,12.0,0
,nan,Bachelor's,nan,138730.0,14.0,0
,Female,nan,Houston,132699.0,12.0,0
40.0,nan,High School,San Francisco,77950.0,13.0,0
22.0,nan,nan,Chicago,74796.0,16.0,0
,nan,PhD,San Francisco,113991.0,11.0,1
48.0,Female,nan,New York,88792.0,3.0,1
30.0,Female,PhD,San Francisco,85332.0,0.0,1
21.0,nan,High School,San Francisco,90618.0,13.0,0
39.0,Female,Bachelor's,San Francisco,87537.0,5.0,1
34.0,Female,High School,Los Angeles,60283.0,14.0,1
44.0,Male,Bachelor's,Chicago,54560.0,2.0,1
,nan,Master's,New York,80383.0,11.0,0
21.0,nan,nan,nan,94593.0,8.0,1
43.0,Male,High School,Chicago,123643.0,,1
46.0,nan,High School,Los Angeles,102246.0,14.0,0
29.0,Male,High School,Chicago,146093.0,13.0,1
35.0,Male,PhD,nan,114704.0,0.0,1
,nan,High School,Chicago,,7.0,1
44.0,Male,nan,nan,106420.0,5.0,0
37.0,Male,PhD,New York,103928.0,19.0,1
29.0,Male,nan,New York,113632.0,9.0,1
43.0,Male,nan,nan,146773.0,1.0,0
41.0,Male,Bachelor's,Los Angeles,98542.0,2.0,1
46.0,nan,PhD,nan,80717.0,19.0,1
46.0,nan,High School,Los Angeles,140268.0,0.0,1
48.0,Female,PhD,Houston,40714.0,11.0,1
32.0,Male,PhD,Los Angeles,137709.0,3.0,0
26.0,nan,High School,nan,41269.0,1.0,1
43.0,Male,Bachelor's,nan,52039.0,4.0,1
38.0,Female,Master's,New York,142731.0,12.0,0
42.0,Male,PhD,nan,113772.0,3.0,0
36.0,nan,nan,Chicago,125057.0,15.0,1
28.0,Male,PhD,nan,132578.0,16.0,1
41.0,Male,Bachelor's,Los Angeles,116421.0,10.0,1
21.0,Female,Master's,San Francisco,31099.0,15.0,0
21.0,Female,Master's,New York,74828.0,1.0,0
38.0,Male,Bachelor's,nan,66933.0,11.0,0
24.0,Female,Master's,nan,72341.0,0.0,1
34.0,Male,Master's,San Francisco,78905.0,1.0,0
20.0,Female,High School,San Francisco,105288.0,9.0,1
39.0,nan,High School,Los Angeles,141082.0,6.0,1
43.0,Female,Master's,New York,108587.0,3.0,0
34.0,Female,Master's,San Francisco,90018.0,19.0,1
33.0,nan,PhD,nan,55553.0,11.0,0
33.0,nan,PhD,Chicago,80812.0,19.0,1
35.0,Male,Bachelor's,Los Angeles,59156.0,15.0,0
49.0,nan,Bachelor's,New York,41054.0,16.0,1
28.0,nan,PhD,Los Angeles,64757.0,6.0,1
45.0,Male,Master's,Chicago,39099.0,17.0,0
44.0,Male,nan,Los Angeles,51543.0,3.0,0
36.0,Female,Bachelor's,nan,106349.0,1.0,1
27.0,Female,High School,Houston,62106.0,10.0,0
26.0,Female,nan,nan,39109.0,13.0,1
39.0,Male,Bachelor's,San Francisco,125625.0,12.0,0
25.0,nan,PhD,Houston,55492.0,19.0,1
23.0,Female,nan,Houston,63593.0,6.0,0
48.0,Male,Master's,San Francisco,,2.0,1
42.0,Male,nan,Chicago,,10.0,0
31.0,Male,nan,Houston,82420.0,6.0,1
,Male,High School,Los Angeles,100188.0,11.0,1
41.0,Female,Master's,Los Angeles,71035.0,12.0,1
42.0,Male,Bachelor's,Los Angeles,107489.0,1.0,0
48.0,nan,nan,Chicago,48774.0,16.0,0
,Female,Master's,nan,53643.0,,0
23.0,Female,High School,Chicago,56766.0,8.0,0
35.0,nan,PhD,Los Angeles,139535.0,10.0,0
25.0,Female,Bachelor's,Los Angeles,145307.0,0.0,0
22.0,nan,High School,Houston,125104.0,14.0,0
22.0,Female,Bachelor's,New York,146313.0,16.0,1
22.0,Female,PhD,Houston,139781.0,15.0,0
42.0,nan,Bachelor's,nan,61785.0,12.0,1
25.0,Female,High School,Houston,34149.0,18.0,1
43.0,Female,High School,Los Angeles,,7.0,0
26.0,Female,Bachelor's,Chicago,,5.0,1
,nan,PhD,nan,39041.0,4.0,0
46.0,Female,Bachelor's,San Francisco,62407.0,2.0,1
29.0,Female,Master's,New York,122135.0,12.0,0
43.0,Female,nan,nan,124765.0,7.0,1
24.0,Female,Bachelor's,San Francisco,87728.0,,1
26.0,nan,Bachelor's,Chicago,75446.0,,1
32.0,Female,Bachelor's,San Francisco,131804.0,1.0,1
33.0,Male,High School,Houston,114683.0,18.0,1
,Female,nan,nan,97654.0,11.0,1
27.0,Male,High School,nan,70684.0,,0
27.0,nan,Bachelor's,Los Angeles,107247.0,10.0,1
,Female,nan,Houston,102142.0,15.0,1
40.0,Male,Bachelor's,San Francisco,133940.0,16.0,0
37.0,nan,High School,San Francisco,92916.0,11.0,1
38.0,nan,Master's,San Francisco,96846.0,17.0,1
35.0,nan,Bachelor's,Houston,69812.0,6.0,0
43.0,nan,High School,Los Angeles,66949.0,14.0,0
48.0,nan,nan,Chicago,148033.0,11.0,1
42.0,Male,High School,Houston,144552.0,5.0,1
35.0,Female,nan,New York,130770.0,14.0,0
24.0,Male,nan,San Francisco,138261.0,1.0,1
31.0,Male,High School,Los Angeles,136991.0,1.0,1
29.0,Male,Bachelor's,Houston,142256.0,8.0,1
31.0,Male,nan,Chicago,132153.0,16.0,1
27.0,nan,nan,Los Angeles,,4.0,1
49.0,Female,Bachelor's,nan,36768.0,16.0,0
31.0,Female,Bachelor's,San Francisco,139465.0,18.0,1
28.0,Female,Bachelor's,San Francisco,91150.0,12.0,1
41.0,Female,Bachelor's,Chicago,92691.0,7.0,0
37.0,Male,Master's,Houston,74576.0,18.0,1
39.0,nan,PhD,Los Angeles,82620.0,10.0,1
35.0,nan,Bachelor's,nan,146989.0,15.0,0
30.0,Male,Bachelor's,nan,119621.0,,0
38.0,Male,nan,Houston,79947.0,1.0,1
40.0,Female,Bachelor's,New York,56407.0,3.0,1
24.0,Male,Master's,nan,43031.0,12.0,0
47.0,Male,Master's,Chicago,105149.0,9.0,0
41.0,Female,Bachelor's,New York,130049.0,10.0,0
,Female,Bachelor's,New York,65090.0,8.0,0
46.0,Female,nan,nan,81863.0,7.0,1
47.0,Female,PhD,San Francisco,114611.0,15.0,1
27.0,Male,Master's,San Francisco,57582.0,10.0,0
49.0,Female,nan,Los Angeles,117551.0,16.0,1
24.0,nan,nan,New York,139188.0,4.0,1
37.0,Male,PhD,New York,95160.0,,1
32.0,nan,High School,nan,39002.0,15.0,1
32.0,nan,High School,New York,33124.0,7.0,1
43.0,nan,Bachelor's,New York,52057.0,17.0,1
27.0,Male,Master's,New York,81305.0,8.0,1
41.0,nan,Bachelor's,Los Angeles,59735.0,8.0,0
31.0,Female,Master's,Los Angeles,95034.0,6.0,0
33.0,Male,nan,Los Angeles,42065.0,7.0,0
44.0,Female,PhD,New York,47788.0,5.0,0
31.0,Male,PhD,San Francisco,107383.0,16.0,1
31.0,Female,Master's,San Francisco,129840.0,6.0,0
49.0,Female,Bachelor's,San Francisco,145199.0,0.0,1
35.0,nan,nan,Chicago,107224.0,18.0,0
37.0,nan,Master's,Los Angeles,67756.0,9.0,0
34.0,nan,nan,Chicago,69213.0,11.0,1
42.0,Male,Master's,New York,,8.0,1
49.0,nan,PhD,nan,41034.0,19.0,1
41.0,nan,nan,Chicago,136150.0,4.0,0
47.0,nan,PhD,Chicago,86898.0,12.0,1
38.0,Female,Bachelor's,Chicago,99908.0,2.0,1
31.0,Male,PhD,Houston,140025.0,16.0,1
47.0,Female,Master's,Houston,,19.0,0
34.0,Female,Master's,nan,113175.0,4.0,0
,Female,High School,Los Angeles,103119.0,1.0,1
34.0,nan,Bachelor's,New York,128035.0,13.0,1
39.0,Female,Master's,Houston,70941.0,15.0,0
25.0,Male,High School,Chicago,92856.0,11.0,0
,nan,Bachelor's,Los Angeles,65818.0,6.0,1
31.0,Male,Master's,Houston,137984.0,8.0,0
40.0,Male,nan,New York,107148.0,15.0,0
32.0,nan,PhD,San Francisco,102983.0,9.0,1
31.0,nan,nan,New York,135132.0,5.0,1
26.0,Male,High School,Chicago,84515.0,2.0,1
35.0,nan,Bachelor's,Los Angeles,58682.0,3.0,1
46.0,Male,PhD,nan,110135.0,1.0,1
45.0,Female,nan,Houston,55484.0,16.0,0
45.0,Female,Bachelor's,Chicago,35572.0,2.0,1
31.0,Female,PhD,San Francisco,39162.0,7.0,1
47.0,Male,Bachelor's,San Francisco,35908.0,19.0,0
25.0,Male,PhD,Chicago,103727.0,7.0,0
25.0,Male,High School,nan,41271.0,10.0,0
42.0,Female,Master's,nan,114639.0,13.0,1
49.0,Female,nan,Houston,94336.0,15.0,0
25.0,Male,High School,Los Angeles,66412.0,2.0,0
30.0,Female,nan,Houston,,7.0,1
40.0,Female,Master's,San Francisco,141138.0,0.0,1
34.0,Female,High School,nan,125122.0,9.0,0
39.0,nan,High School,Los Angeles,78062.0,19.0,1
35.0,Female,PhD,nan,122776.0,7.0,1
30.0,Male,nan,Houston,113728.0,10.0,1
21.0,Male,Bachelor's,Los Angeles,33064.0,13.0,1
25.0,Male,PhD,Los Angeles,137578.0,6.0,1
20.0,nan,Master's,Chicago,80033.0,15.0,1
22.0,nan,PhD,Chicago,86586.0,9.0,1
45.0,Female,nan,San Francisco,33901.0,18.0,0
28.0,nan,Master's,New York,93206.0,12.0,1
26.0,Male,Bachelor's,Houston,139402.0,4.0,1
42.0,nan,High School,nan,148759.0,8.0,1
24.0,nan,nan,Houston,73601.0,15.0,1
43.0,nan,High School,Chicago,69322.0,9.0,1
23.0,Female,nan,New York,37699.0,17.0,1
30.0,Female,Bachelor's,Chicago,145492.0,18.0,1
,Male,Master's,Chicago,77875.0,11.0,1
32.0,nan,High School,Houston,75699.0,5.0,1
36.0,Female,nan,San Francisco,67006.0,19.0,0
28.0,Female,Bachelor's,nan,91269.0,17.0,0
20.0,Male,Master's,nan,88857.0,2.0,1
28.0,nan,Master's,Houston,89225.0,15.0,0
35.0,Male,High School,San Francisco,144642.0,9.0,1
47.0,Female,nan,Chicago,91134.0,9.0,0
36.0,Male,PhD,Chicago,90840.0,8.0,1
,Male,PhD,Los Angeles,101698.0,18.0,1
27.0,Male,High School,San Francisco,79820.0,6.0,1
32.0,Female,PhD,Los Angeles,87867.0,0.0,0
23.0,Female,High School,Houston,78274.0,9.0,1
27.0,Male,Bachelor's,Houston,31735.0,0.0,0
30.0,Female,Bachelor's,Chicago,114026.0,19.0,0
37.0,nan,Master's,Chicago,134289.0,3.0,1
49.0,Female,Master's,Houston,32389.0,10.0,1
44.0,Female,High School,Los Angeles,50681.0,6.0,1
42.0,Female,High School,nan,112066.0,15.0,1
36.0,Female,High School,Los Angeles,95659.0,7.0,1
26.0,Female,PhD,nan,35077.0,15.0,1
41.0,Male,Master's,Los Angeles,50980.0,16.0,0
37.0,Female,nan,Houston,31797.0,7.0,1
24.0,Female,High School,Chicago,35679.0,8.0,1
30.0,nan,nan,Chicago,112472.0,19.0,0
45.0,Male,Bachelor's,New York,67763.0,17.0,1
43.0,nan,Master's,New York,30886.0,3.0,0
31.0,Male,Master's,San Francisco,79748.0,0.0,1
38.0,Female,High School,Houston,132378.0,0.0,0
28.0,Male,Bachelor's,Los Angeles,56803.0,7.0,0
40.0,Female,PhD,San Francisco,148853.0,14.0,0
25.0,Male,nan,Los Angeles,104957.0,15.0,1
39.0,Male,Master's,Los Angeles,59437.0,11.0,1
34.0,Female,Bachelor's,New York,147394.0,2.0,1
44.0,Male,High School,Los Angeles,80375.0,9.0,0
42.0,Male,Bachelor's,New York,80985.0,0.0,1
40.0,Male,Bachelor's,New York,68152.0,4.0,0
38.0,Female,Bachelor's,Houston,96571.0,13.0,1
33.0,nan,nan,New York,134583.0,1.0,0
37.0,nan,High School,Houston,132738.0,0.0,1
47.0,nan,PhD,Houston,88250.0,17.0,1
36.0,Female,Master's,Los Angeles,131607.0,18.0,0
41.0,nan,Master's,New York,44837.0,2.0,1
46.0,nan,Bachelor's,Los Angeles,146185.0,15.0,1
38.0,Female,Bachelor's,Houston,78472.0,16.0,0
26.0,nan,Bachelor's,nan,137079.0,13.0,1
26.0,Male,nan,nan,33788.0,19.0,1
40.0,Male,Master's,Los Angeles,92068.0,13.0,1
38.0,nan,Bachelor's,Los Angeles,114354.0,4.0,0
34.0,nan,Bachelor's,nan,132344.0,7.0,0
42.0,Male,High School,Los Angeles,114949.0,,0
45.0,Male,Bachelor's,San Francisco,116006.0,12.0,1
35.0,Male,High School,San Francisco,33945.0,,1
33.0,Male,Master's,Chicago,73602.0,16.0,0
21.0,nan,Bachelor's,San Francisco,103270.0,11.0,1
39.0,Female,Master's,Houston,73506.0,2.0,0
31.0,nan,Bachelor's,Chicago,142285.0,5.0,0
30.0,nan,PhD,San Francisco,37903.0,1.0,0
36.0,Female,Bachelor's,Chicago,,12.0,1
48.0,Female,Bachelor's,Los Angeles,127349.0,13.0,1
45.0,nan,High School,San Francisco,100725.0,8.0,1
,nan,Bachelor's,nan,,6.0,1
,nan,Master's,nan,33584.0,6.0,0
45.0,nan,nan,New York,77209.0,10.0,0
26.0,Female,High School,Houston,52255.0,14.0,1
31.0,Female,Master's,New York,83537.0,3.0,1
37.0,Female,High School,Chicago,95938.0,12.0,1
34.0,Female,PhD,nan,141205.0,0.0,0
39.0,nan,PhD,nan,55905.0,5.0,1
45.0,Male,Bachelor's,San Francisco,65266.0,,0
38.0,Male,Bachelor's,San Francisco,136721.0,6.0,1
43.0,Male,Bachelor's,nan,149891.0,1.0,1
28.0,Female,PhD,nan,55300.0,,1
30.0,nan,Bachelor's,San Francisco,91584.0,5.0,1
37.0,Female,Bachelor's,Chicago,36539.0,16.0,0
36.0,Female,Master's,Houston,148962.0,11.0,1
25.0,nan,PhD,New York,33820.0,14.0,0
21.0,Female,Bachelor's,Chicago,96549.0,14.0,0
48.0,nan,Master's,New York,34523.0,18.0,1
21.0,Male,Bachelor's,nan,58267.0,9.0,1
29.0,Male,High School,San Francisco,75273.0,11.0,1
26.0,Female,Master's,Houston,131974.0,3.0,0
29.0,nan,nan,Los Angeles,123016.0,3.0,1
26.0,Male,Bachelor's,nan,72320.0,11.0,1
28.0,nan,Bachelor's,New York,,12.0,1
34.0,nan,nan,Los Angeles,139000.0,,1
28.0,nan,nan,San Francisco,111103.0,2.0,1
48.0,Male,Master's,Chicago,61779.0,,1
24.0,Female,High School,Chicago,148626.0,9.0,1
41.0,Male,nan,Houston,39743.0,9.0,0
31.0,Male,PhD,New York,135034.0,11.0,1
47.0,nan,PhD,nan,30637.0,17.0,0
30.0,Female,Bachelor's,Houston,102777.0,18.0,0
,Female,nan,Los Angeles,94677.0,8.0,1
21.0,nan,PhD,Los Angeles,86492.0,17.0,0
30.0,Male,PhD,San Francisco,107104.0,9.0,0
24.0,Female,Master's,Los Angeles,37955.0,10.0,0
27.0,Female,High School,San Francisco,65616.0,0.0,0
,nan,Bachelor's,nan,96400.0,13.0,0
34.0,Female,nan,New York,50738.0,10.0,0
28.0,Male,nan,San Francisco,97129.0,17.0,0
48.0,Male,Bachelor's,nan,126888.0,13.0,0
46.0,nan,Master's,Chicago,51413.0,3.0,0
23.0,Female,High School,San Francisco,81399.0,2.0,0
,nan,High School,nan,129103.0,1.0,0
46.0,Male,PhD,San Francisco,90443.0,4.0,0
45.0,nan,Bachelor's,nan,65549.0,,1
22.0,nan,High School,Los Angeles,142327.0,19.0,1
40.0,nan,Master's,nan,83459.0,2.0,1
32.0,Male,High School,Los Angeles,117491.0,5.0,0
33.0,nan,High School,New York,44473.0,7.0,1
41.0,nan,nan,Los Angeles,141188.0,0.0,1
34.0,Male,Master's,Los Angeles,56473.0,13.0,1
30.0,nan,High School,Los Angeles,95766.0,12.0,1
34.0,nan,Master's,nan,108106.0,2.0,0
46.0,nan,Bachelor's,New York,70086.0,12.0,1
26.0,Female,PhD,nan,47790.0,8.0,0
21.0,Male,nan,nan,40471.0,10.0,0
28.0,nan,High School,Chicago,125558.0,2.0,1
21.0,Male,nan,Houston,31020.0,13.0,1
43.0,Male,Bachelor's,San Francisco,86468.0,8.0,0
47.0,Male,High School,Los Angeles,82568.0,3.0,1
45.0,nan,PhD,Chicago,132305.0,18.0,1
48.0,Female,PhD,San Francisco,,10.0,0
20.0,Male,nan,nan,107427.0,2.0,1
20.0,Female,Master's,San Francisco,141210.0,7.0,1
49.0,nan,PhD,Chicago,141487.0,19.0,1
48.0,Female,Bachelor's,Houston,79592.0,7.0,1
49.0,Male,nan,Houston,31478.0,2.0,1
37.0,Male,Bachelor's,nan,44350.0,11.0,1
39.0,nan,Bachelor's,Los Angeles,50371.0,8.0,0
25.0,nan,PhD,Houston,83395.0,,1
,Female,nan,San Francisco,61924.0,15.0,1
48.0,Male,Master's,nan,97698.0,12.0,0
40.0,nan,High School,Chicago,142958.0,13.0,1
44.0,Male,Master's,Houston,108465.0,7.0,1
30.0,Male,High School,San Francisco,121777.0,7.0,1
43.0,nan,PhD,Chicago,33149.0,3.0,1
46.0,Male,Bachelor's,Houston,68089.0,6.0,0
33.0,nan,High School,Chicago,74331.0,16.0,1
43.0,nan,Bachelor's,nan,78965.0,7.0,1
30.0,Male,PhD,Los Angeles,84115.0,12.0,1
43.0,Female,PhD,Los Angeles,89094.0,12.0,0
46.0,Female,nan,New York,51670.0,9.0,1
